stress,hapiness,attitude,sub_norm,control,intention,result
34,12,39,7,6,1,No
33,18,35,35,3,4,No
36,11,8,29,6,3,Yes
33,14,52,23,6,3,No
31,17,83,27,14,5,No
27,17,69,31,7,4,No
24,7,40,11,13,1,No
26,14,81,36,12,2,Yes
30,6,96,35,11,6,No
32,15,6,24,12,3,No
25,6,83,42,5,5,No
36,14,56,15,4,2,No
25,11,4,10,6,3,Yes
28,16,16,35,7,5,No
21,9,31,38,5,4,Yes
31,7,46,39,5,2,Yes
32,14,59,32,11,2,No
23,15,85,33,3,1,Yes
25,18,25,40,10,2,No
30,7,53,44,5,3,No
30,7,57,47,8,5,No
35,16,90,34,7,2,No
30,13,91,26,6,3,No
24,10,7,39,3,4,Yes
31,6,20,34,4,5,Yes
33,11,6,16,7,5,Yes
25,17,46,33,11,1,Yes
22,16,14,17,4,6,No
36,17,71,13,11,4,No
34,18,76,46,5,6,No
29,16,8,37,14,3,No
22,8,63,12,14,3,No
22,11,48,20,6,1,Yes
32,18,44,35,5,5,No
29,15,74,6,12,6,No
26,17,99,14,3,2,No
36,11,94,37,5,3,No
30,15,31,32,8,4,No
27,13,31,25,5,1,Yes
23,16,49,20,9,5,No
33,16,80,35,8,2,No
36,15,82,22,10,5,No
32,13,51,42,8,4,No
30,8,92,25,3,6,No
25,7,89,46,3,1,No
31,11,24,5,13,1,No
35,7,20,30,9,3,Yes
26,13,42,13,8,6,No
26,8,66,39,14,6,No
27,8,85,23,10,4,Yes
25,8,74,47,11,1,No
35,6,61,44,10,4,No
34,14,73,5,3,3,No
28,8,29,15,3,5,Yes
21,15,98,26,10,6,No
28,10,51,18,4,1,Yes
21,17,7,15,14,3,No
35,17,71,48,8,6,No
26,6,18,24,14,2,Yes
26,11,80,48,7,5,No
26,18,23,14,9,6,No
34,13,61,21,6,2,No
35,18,62,19,3,6,No
26,14,90,18,7,4,No
27,11,21,19,11,3,Yes
25,15,8,8,6,3,No
24,9,18,22,7,4,Yes
26,9,63,28,12,1,Yes
25,11,50,28,3,2,Yes
30,16,61,10,7,3,No
22,6,59,41,4,5,No
23,8,51,6,8,6,No
25,12,27,24,4,1,Yes
32,6,70,19,7,4,Yes
27,13,77,7,8,6,No
33,7,71,13,12,3,Yes
33,9,91,39,11,5,No
28,11,75,28,5,5,No
29,18,94,46,13,2,No
29,17,66,44,10,6,No
29,7,97,25,9,4,Yes
36,18,81,23,4,3,No
31,6,56,36,14,6,No
29,17,32,31,6,2,No
31,10,86,35,14,2,No
21,6,33,34,9,3,Yes
26,17,97,10,10,5,No
23,6,59,24,12,6,Yes
23,17,47,30,12,4,No
22,16,19,26,9,1,No
21,6,28,3,7,4,No
27,8,21,45,10,2,Yes
34,15,7,15,6,6,No
31,17,62,22,13,5,No
22,13,97,22,6,5,No
35,11,85,28,7,3,No
32,12,68,23,3,1,No
32,16,93,13,10,6,No
28,17,56,45,11,6,No
24,9,6,45,10,6,Yes
28,11,78,45,6,3,No
26,9,91,41,10,3,No
28,6,92,12,10,5,Yes
36,16,25,31,9,6,No
35,10,52,3,13,4,No
34,12,33,30,10,4,No
28,15,69,22,14,2,Yes
25,18,29,45,5,3,No
35,6,23,29,10,1,Yes
28,8,37,47,14,3,No
27,9,36,30,4,1,Yes
36,10,21,14,4,4,Yes
28,6,43,5,5,3,Yes
36,12,39,42,3,4,No
35,10,55,29,11,1,No
25,9,30,16,3,1,Yes
24,13,89,10,6,4,No
35,7,65,33,6,4,No
36,12,67,33,3,2,No
22,7,60,10,13,4,No
36,16,59,6,3,3,No
28,9,8,10,6,6,Yes
33,7,52,18,13,2,Yes
29,16,18,18,13,2,No
24,9,11,16,5,1,Yes
25,14,65,36,6,4,No
29,17,82,32,9,3,No
26,16,19,37,9,5,No
26,9,25,6,13,1,No
21,15,73,18,8,3,No
31,6,91,30,11,6,No
23,16,22,41,3,5,No
21,18,79,14,5,4,No
27,10,25,40,9,6,Yes
34,17,12,8,6,6,No
28,18,67,48,5,5,No
29,9,76,5,9,4,No
33,6,29,18,12,6,Yes
29,18,8,47,11,4,No
24,7,84,29,11,3,Yes
35,8,4,10,14,3,Yes
30,12,61,17,11,4,No
31,7,97,22,9,4,No
25,16,74,9,7,4,No
34,12,85,5,6,5,No
36,9,19,31,4,1,Yes
24,6,12,6,10,3,No
35,10,82,3,10,4,No
21,15,68,30,7,5,No
29,16,12,14,8,3,No
27,8,84,28,12,2,Yes
33,9,25,47,5,4,No
33,12,67,18,7,2,No
23,17,54,23,9,6,No
27,8,56,44,10,1,No
21,17,98,43,9,6,No
36,18,44,15,9,5,No
23,8,74,35,3,6,No
25,14,28,48,7,3,No
31,16,95,14,14,3,No
31,15,13,44,14,2,No
31,16,13,41,10,6,No
25,18,89,18,8,1,Yes
28,9,21,32,7,4,Yes
30,18,69,38,4,4,No
36,12,6,26,14,2,Yes
31,9,20,13,5,2,Yes
27,15,86,36,6,2,Yes
26,14,63,39,13,5,No
35,16,87,6,3,4,No
32,6,54,45,7,6,No
28,7,25,19,10,4,Yes
31,8,44,38,11,4,No
25,17,70,33,8,5,No
25,11,11,21,5,5,Yes
32,18,48,11,5,1,No
33,16,56,20,6,5,No
21,13,54,26,12,2,Yes
35,6,86,22,11,4,Yes
26,7,18,39,14,6,Yes
23,8,74,14,3,3,No
28,14,92,22,6,4,No
21,18,69,6,11,3,No
30,13,23,20,11,4,No
26,17,52,46,6,5,No
21,6,65,47,13,1,No
31,18,56,13,11,4,No
28,18,82,29,3,4,No
23,7,14,24,5,1,Yes
29,11,78,3,13,5,No
36,8,91,48,10,5,No
33,14,14,43,4,5,No
30,12,93,26,14,6,No
26,15,96,13,3,2,No
35,12,85,48,4,2,No
29,8,10,18,3,2,Yes
31,11,26,8,7,2,No
33,16,67,10,11,3,No
35,10,48,48,8,6,No
28,18,63,4,14,3,No
35,18,67,28,10,4,No
28,9,92,7,6,3,No
36,14,9,42,10,6,No
36,6,25,43,10,1,No
33,6,71,8,14,3,Yes
23,16,4,29,4,3,No
27,13,80,9,11,2,No
30,7,51,18,10,6,Yes
25,7,36,29,3,3,Yes
22,11,82,38,6,4,Yes
24,9,38,33,13,5,Yes
32,12,12,18,12,2,Yes
22,10,20,24,12,1,No
36,9,27,45,14,2,No
26,18,85,29,13,1,Yes
36,12,97,44,10,4,No
36,8,47,6,12,5,Yes
22,7,45,26,3,6,No
30,14,21,7,4,1,No
29,18,49,23,4,2,No
26,12,29,20,3,4,Yes
29,9,47,26,3,1,Yes
24,8,88,32,10,4,Yes
28,8,25,5,11,4,No
28,8,9,22,14,6,Yes
33,12,74,25,14,6,No
29,15,86,10,4,5,No
28,7,62,15,7,1,Yes
33,8,31,31,5,6,Yes
33,14,60,19,8,3,No
30,17,53,4,13,1,No
27,8,41,10,6,6,No
21,11,10,26,12,1,No
22,9,51,38,12,4,Yes
27,6,54,45,13,1,No
35,12,51,14,6,1,No
23,12,30,20,3,1,Yes
25,9,62,31,14,5,Yes
32,14,54,20,13,3,No
36,8,6,38,13,3,Yes
32,10,90,8,4,6,No
24,13,94,45,10,6,No
23,12,30,7,3,6,No
28,8,72,46,4,2,No
30,6,4,8,3,1,Yes
29,14,77,25,6,1,Yes
36,14,70,37,7,3,No
29,8,55,4,4,4,No
35,18,21,17,10,1,No
30,7,76,21,5,6,No
36,16,7,32,8,5,No
34,6,7,46,7,2,Yes
33,12,62,35,13,2,No
26,8,30,41,7,1,Yes
32,9,46,13,9,3,Yes
26,12,52,10,3,4,No
34,8,11,6,10,3,Yes
23,8,6,39,9,6,Yes
26,9,11,7,12,3,No
29,14,78,7,3,1,No
27,12,18,38,11,5,Yes
21,15,40,37,14,2,Yes
23,8,92,11,8,3,No
26,15,98,18,10,5,No
33,8,85,45,9,2,No
34,18,96,17,3,2,No
34,17,30,39,11,4,No
22,12,64,3,12,5,No
25,9,80,19,13,6,Yes
24,13,95,27,13,3,Yes
29,15,9,8,3,6,No
22,17,37,39,12,5,No
26,18,70,38,14,6,No
28,8,46,21,8,5,Yes
26,18,83,47,13,4,No
35,8,82,23,7,1,No
35,15,78,45,10,1,No
23,18,17,8,12,5,No
32,16,31,14,7,6,No
36,15,51,10,3,2,No
24,11,46,43,4,3,Yes
25,9,44,21,5,6,No
27,18,86,9,10,4,No
22,8,29,26,6,5,Yes
26,13,10,3,4,6,No
23,9,83,32,14,1,Yes
25,13,84,32,13,5,No
35,15,57,12,3,4,No
30,7,76,17,10,2,Yes
36,13,18,4,10,1,No
27,7,45,34,12,3,Yes
30,18,63,8,12,2,No
27,11,10,38,6,3,Yes
28,6,66,7,3,4,No
25,18,19,46,8,3,No
30,12,65,35,7,4,No
36,18,48,27,6,5,No
21,10,50,16,9,6,No
25,17,94,13,10,1,Yes
32,7,16,40,12,2,Yes
22,13,21,29,11,5,Yes
29,7,52,12,11,1,Yes
30,16,63,15,4,5,No
36,11,43,32,11,3,No
27,16,98,35,14,5,No
27,17,45,28,8,4,No
30,6,60,10,8,2,Yes
33,18,16,21,12,5,No
36,16,83,40,4,3,No
23,14,22,23,13,3,No
27,12,92,39,7,5,No
32,9,43,17,11,4,Yes
26,16,98,5,8,5,No
36,6,72,40,5,2,No
32,6,40,18,13,1,Yes
27,18,69,46,14,1,Yes
29,18,60,43,8,6,No
31,15,40,32,8,2,No
35,18,48,31,13,2,No
34,17,99,27,7,5,No
34,14,22,25,14,3,No
24,16,36,6,3,3,No
31,14,26,9,3,2,No
26,6,25,34,9,5,Yes
34,16,56,9,4,4,No
22,8,23,35,9,2,Yes
23,8,98,36,14,4,No
27,9,92,22,13,1,Yes
22,16,5,43,13,3,No
22,11,72,24,8,4,Yes
21,18,15,22,5,5,No
23,9,82,18,7,1,Yes
34,12,81,9,11,6,No
24,14,62,46,5,4,No
28,16,93,20,3,3,No
35,7,19,9,4,5,Yes
24,8,55,13,10,5,No
33,14,45,27,11,3,No
29,11,7,46,10,2,Yes
35,7,52,15,9,1,Yes
34,6,45,28,5,6,Yes
32,6,78,43,6,3,No
33,11,73,44,14,3,No
22,12,15,17,8,2,No
24,15,20,10,5,3,No
32,14,63,22,4,2,No
26,17,12,31,4,5,No
23,11,86,8,3,1,No
31,16,96,3,3,5,No
32,9,54,15,4,2,Yes
30,12,27,39,9,4,No
29,18,63,48,3,2,No
35,10,66,4,13,5,No
26,17,61,4,8,4,No
21,16,31,20,3,3,No
23,7,40,24,14,3,Yes
30,8,7,36,10,2,Yes
33,7,29,15,9,2,Yes
30,12,60,34,4,3,No
33,12,50,31,6,4,No
31,12,95,23,6,4,No
35,6,74,18,8,5,Yes
31,17,80,9,5,4,No
24,6,80,38,12,2,No
25,15,38,35,10,2,Yes
30,11,80,8,10,3,No
31,18,17,25,8,3,No
27,15,71,24,3,4,No
32,15,45,19,12,3,No
36,16,83,27,11,3,No
25,13,96,27,7,4,Yes
30,13,50,48,8,4,No
34,13,15,44,10,6,No
24,15,15,43,11,5,No
30,14,62,42,5,5,No
34,8,30,37,11,1,No
29,6,69,32,12,4,No
33,14,31,19,4,1,No
31,12,8,32,3,6,Yes
23,8,7,32,13,3,Yes
26,17,19,48,6,4,No
21,17,31,34,6,1,No
23,17,8,22,12,1,No
31,12,88,33,9,6,No
23,17,26,4,11,4,No
31,7,33,16,7,3,Yes
34,8,79,7,9,2,Yes
26,15,93,29,12,1,Yes
30,9,6,46,5,1,Yes
21,18,79,27,14,4,No
28,16,4,24,6,6,No
33,14,17,13,10,5,No
27,10,64,17,11,3,Yes
28,7,4,42,9,5,Yes
34,15,47,4,7,4,No
32,12,57,9,4,3,No
34,7,12,7,9,5,Yes
35,8,56,44,4,2,No
27,7,83,19,4,1,Yes
32,11,16,11,13,1,Yes
30,11,26,34,3,5,Yes
31,15,87,34,4,6,No
24,16,68,20,4,5,No
21,11,25,47,6,5,Yes
27,11,73,8,12,4,No
35,9,31,25,6,1,Yes
23,7,6,38,10,4,Yes
24,13,86,36,4,1,Yes
29,13,82,26,13,2,Yes
26,16,28,41,10,2,No
32,16,12,26,14,2,No
26,16,77,25,13,5,No
23,6,11,42,9,5,Yes
22,6,65,39,3,1,Yes
28,10,40,18,12,1,Yes
24,18,79,17,13,3,No
21,17,86,38,9,5,No
25,15,38,45,6,2,No
22,17,28,36,9,4,No
32,10,26,5,12,1,No
36,13,70,35,10,2,No
34,7,45,11,8,3,Yes
22,14,91,18,4,5,No
26,13,35,40,6,2,Yes
25,7,4,6,4,6,No
35,7,21,39,13,4,Yes
24,9,12,27,8,3,Yes
36,15,94,19,5,3,No
35,8,97,20,5,1,No
33,13,38,5,9,3,No
31,14,95,38,7,2,No
24,13,83,13,8,6,No
21,16,17,34,13,6,No
28,18,44,43,7,4,No
29,13,74,31,4,1,Yes
25,16,13,41,3,1,No
27,8,40,31,9,1,Yes
36,13,8,18,7,5,No
34,9,67,7,8,4,No
23,17,51,15,4,5,No
27,6,22,44,13,4,Yes
24,8,12,32,14,5,Yes
25,13,53,47,10,4,No
25,8,70,21,8,5,Yes
32,16,46,45,12,2,No
36,16,65,31,3,2,No
36,15,87,7,3,4,No
33,9,75,40,13,1,No
36,18,50,26,7,5,No
21,10,52,46,3,2,Yes
32,10,68,3,7,3,No
30,7,26,29,8,3,Yes
32,9,8,13,13,3,Yes
21,7,63,4,10,6,No
30,15,93,46,8,6,No
33,12,42,48,11,2,No
29,16,91,28,5,1,Yes
32,16,88,10,5,1,No
28,8,13,40,12,2,Yes
33,9,30,27,13,4,Yes
23,14,31,14,5,3,No
27,15,5,26,9,5,No
21,14,60,15,7,5,No
36,8,67,13,4,4,No
30,9,14,32,7,6,Yes
23,6,79,25,5,4,Yes
35,8,19,31,14,6,Yes
36,14,75,4,10,3,No
31,14,4,45,6,1,No
23,11,47,35,9,6,Yes
22,8,55,31,9,1,Yes
34,10,27,48,11,3,No
29,13,47,23,14,5,No
30,13,4,28,9,2,Yes
23,7,83,45,9,3,No
22,15,15,23,9,6,No
32,13,84,30,10,1,No
24,7,90,18,13,2,Yes
32,11,30,44,14,3,No
30,10,76,45,8,2,No
21,18,69,25,11,4,No
33,17,64,45,5,1,No
25,13,96,46,11,4,No
36,6,86,23,11,2,Yes
24,11,81,3,4,2,No
34,17,10,5,13,2,No
35,9,53,30,14,2,No
30,9,87,34,12,2,No
34,8,21,43,10,1,No
25,15,30,21,9,4,No
33,7,65,25,6,4,No
27,8,49,6,5,1,No
22,11,9,24,5,5,Yes
24,13,60,33,3,2,Yes
24,10,55,28,12,5,Yes
34,10,40,6,9,5,No
21,10,81,42,14,5,No
21,15,96,28,10,6,No
34,16,90,23,8,2,No
31,7,77,43,6,6,No
28,15,89,21,3,5,No
28,6,93,25,9,1,Yes
23,15,79,7,12,3,No
33,16,53,23,9,5,No
26,14,76,25,8,2,Yes
21,8,6,8,7,2,No
24,10,30,21,13,2,Yes
33,9,85,34,13,4,No
31,18,87,13,5,3,No
33,13,6,37,8,2,No
31,6,8,21,7,1,Yes
35,14,42,11,12,6,No
28,9,53,39,11,1,No
30,15,83,24,8,4,No
32,16,38,14,12,5,No
35,8,41,26,13,3,Yes
30,9,62,36,7,1,No
21,17,81,30,6,2,Yes
21,7,96,6,7,1,No
22,7,50,14,5,5,No
29,18,70,28,7,2,No
21,15,71,13,8,6,No
28,7,79,6,5,4,No
21,6,52,12,14,3,No
36,6,13,19,13,6,Yes
22,13,46,7,5,6,No
28,7,55,25,11,2,Yes
36,8,39,19,6,2,Yes
33,18,87,12,12,5,No
36,14,78,3,6,2,No
26,16,25,16,8,3,No
34,17,69,36,8,5,No
34,16,74,35,7,6,No
27,8,51,36,14,6,No
26,17,28,7,9,5,No
24,17,12,21,7,2,No
33,16,22,42,3,3,No
35,17,98,26,13,2,No
23,11,8,40,11,3,Yes
32,16,21,33,9,5,No
24,12,36,20,7,2,Yes
35,7,48,20,4,1,Yes
25,8,66,25,8,5,Yes
27,10,23,28,10,5,Yes
33,15,28,10,8,5,No
27,14,44,38,5,3,No
29,11,15,3,7,2,No
34,6,22,31,13,5,Yes
34,8,17,36,12,5,Yes
34,9,27,33,7,3,Yes
36,14,13,5,13,5,No
32,9,28,5,5,2,Yes
32,7,67,44,12,2,No
26,6,37,27,14,1,Yes
30,16,9,7,13,6,No
22,15,20,3,5,5,No
23,8,72,41,4,6,No
30,14,83,46,6,3,No
26,16,68,41,13,1,Yes
36,18,63,48,7,6,No
23,18,37,30,3,1,No
28,6,19,30,10,6,Yes
33,7,5,20,14,2,Yes
23,14,44,31,11,2,Yes
31,13,90,5,7,4,No
25,16,21,24,13,2,No
23,6,20,13,11,5,No
23,14,93,12,3,1,No
29,8,62,38,4,6,No
31,11,54,32,8,4,No
26,6,37,30,4,3,Yes
32,16,72,40,4,6,No
36,8,80,8,3,2,No
34,16,12,13,6,6,No
27,17,8,35,5,5,No
29,16,59,17,14,3,No
28,14,47,29,5,4,No
25,16,97,18,4,1,Yes
34,11,73,46,5,1,No
30,9,51,23,4,3,Yes
22,9,53,38,7,6,Yes
30,7,14,41,9,1,Yes
35,8,40,34,11,2,No
21,14,28,45,4,5,No
27,18,33,45,6,4,No
27,18,88,6,10,2,No
24,18,73,6,14,4,No
33,11,65,25,11,3,No
34,9,25,11,3,2,Yes
31,13,52,48,13,5,No
30,18,41,8,12,5,No
35,9,26,14,6,1,Yes
21,6,67,48,7,2,No
25,16,9,37,9,4,No
34,13,50,11,8,6,No
27,9,49,46,10,1,No
30,9,73,20,8,2,Yes
25,10,53,15,6,5,No
28,11,74,42,8,1,No
32,6,80,32,7,5,No
26,12,32,48,9,2,Yes
24,7,78,43,8,5,No
32,9,6,41,11,5,Yes
22,15,24,44,10,3,Yes
22,6,91,7,8,3,No
35,13,61,25,13,6,No
22,13,49,3,13,5,No
23,14,99,42,10,4,No
33,15,49,41,9,1,No
34,15,41,13,9,1,No
34,14,86,7,5,1,No
35,12,19,22,5,2,Yes
25,14,60,15,5,2,No
26,10,86,42,6,1,Yes
21,13,27,22,9,5,No
22,16,31,32,4,6,No
26,11,94,23,3,1,Yes
36,13,44,18,6,6,No
35,17,89,23,10,3,No
36,9,75,32,14,1,No
32,17,32,3,11,5,No
33,12,90,44,12,5,No
26,6,20,7,8,2,No
23,14,84,20,13,1,Yes
26,6,20,15,6,3,Yes
22,12,43,47,8,4,Yes
34,10,44,11,13,4,Yes
25,6,35,17,12,4,Yes
34,14,15,34,6,5,No
25,17,92,45,11,6,No
28,7,35,31,13,6,Yes
25,9,60,24,11,3,Yes
36,13,21,12,7,3,No
29,6,37,45,9,1,No
22,14,42,24,8,3,No
35,14,63,32,7,4,No
26,13,69,15,6,6,No
22,7,7,14,13,1,No
31,7,43,10,9,6,Yes
24,14,47,35,3,2,Yes
25,14,36,36,10,1,Yes
23,7,68,41,10,4,No
31,17,38,15,13,3,No
35,17,14,16,9,6,No
24,8,76,47,9,6,No
22,15,20,32,8,4,No
34,11,16,25,13,4,Yes
32,12,61,3,14,1,No
36,10,87,31,6,1,No
35,14,96,15,11,6,No
36,10,4,24,4,2,Yes
31,16,18,7,12,4,No
25,10,73,26,7,2,Yes
36,7,42,26,8,5,Yes
28,7,45,46,6,6,No
26,6,18,8,14,2,No
25,15,39,15,3,6,No
34,16,44,30,11,1,No
27,10,94,26,13,5,Yes
29,6,82,21,6,4,Yes
30,17,98,36,7,6,No
33,14,23,24,6,2,No
34,15,73,45,13,2,No
32,18,28,4,8,6,No
29,13,32,18,10,4,No
34,9,88,48,12,2,No
36,15,36,20,9,4,No
33,11,60,26,12,6,No
24,7,69,20,7,6,No
24,15,48,9,12,1,No
25,15,78,15,14,1,Yes
31,12,62,12,10,3,No
23,10,98,14,12,6,Yes
36,15,55,45,7,1,No
24,10,94,6,4,2,No
21,10,81,11,5,2,No
23,7,31,46,12,4,Yes
30,15,35,3,7,6,No
29,12,21,32,13,6,Yes
21,6,76,20,6,2,Yes
36,6,14,15,8,1,Yes
24,6,90,6,10,6,No
25,10,37,23,14,4,Yes
36,8,53,14,12,2,Yes
21,9,74,30,8,2,Yes
21,12,64,5,14,6,No
31,15,73,35,14,4,No
24,6,96,45,4,3,No
27,18,34,14,11,3,No
32,14,94,5,8,5,No
33,8,87,7,11,5,Yes
23,15,26,15,13,4,No
26,14,29,20,8,6,No
24,10,55,39,11,2,Yes
33,6,41,27,14,5,Yes
25,18,76,40,3,1,Yes
27,11,37,26,4,1,Yes
26,10,32,11,12,2,No
26,13,78,48,5,6,No
34,17,99,24,11,6,No
24,14,79,27,3,4,No
28,18,31,36,9,1,No
27,9,45,7,5,6,No
23,6,78,39,4,6,No
23,17,65,19,5,6,No
22,12,49,3,9,1,No
25,10,59,16,13,6,Yes
23,6,63,23,5,2,Yes
24,17,57,42,11,2,Yes
22,9,25,23,5,2,Yes
28,6,99,46,4,1,No
28,11,75,3,6,6,No
25,7,62,20,4,5,No
32,8,5,35,9,3,Yes
24,10,28,39,8,1,Yes
24,6,34,18,14,2,Yes
26,11,58,3,9,5,No
29,9,97,48,11,1,No
33,14,38,45,8,5,No
24,17,39,15,13,6,No
31,8,21,31,14,1,Yes
32,10,95,17,14,1,Yes
34,14,39,7,12,2,No
24,6,93,31,11,2,Yes
29,11,14,22,4,6,Yes
29,6,72,24,8,6,Yes
32,8,76,40,11,6,No
25,15,25,6,8,1,No
25,10,91,48,11,2,No
31,7,27,3,13,1,No
26,17,21,23,12,6,No
21,15,12,27,12,2,No
33,13,8,12,3,2,Yes
21,14,38,15,9,5,No
32,6,76,36,10,1,No
22,6,91,9,3,4,No
32,16,58,5,3,3,No
24,17,67,37,4,6,No
35,17,42,45,3,2,No
30,8,32,16,14,3,Yes
32,15,14,22,8,5,No
30,13,79,30,7,5,No
21,15,23,36,14,5,No
24,13,19,37,5,4,Yes
34,9,70,42,9,3,No
32,8,33,26,7,2,Yes
26,12,97,21,4,2,Yes
22,10,28,11,14,4,No
26,7,9,10,6,5,Yes
32,9,48,46,12,5,No
28,11,5,7,8,1,No
29,13,86,18,7,3,No
21,12,54,32,12,4,Yes
36,7,20,10,10,5,Yes
22,8,40,6,13,3,No
33,15,60,3,10,4,No
26,8,65,4,6,2,No
31,8,48,32,5,6,No
25,14,16,29,3,5,No
22,9,43,40,3,2,Yes
23,12,68,10,8,1,No
27,8,77,37,3,5,No
35,15,98,46,12,5,No
27,10,46,8,7,5,No
25,14,15,13,10,4,No
23,7,59,10,11,3,No
21,18,96,16,12,4,No
31,7,36,48,7,4,No
27,14,50,8,14,1,No
36,10,81,5,13,6,No
23,9,98,44,4,2,Yes
35,8,98,44,14,3,No
21,10,55,45,12,6,Yes
34,12,40,41,7,3,No
23,9,21,36,13,2,Yes
33,11,83,13,3,6,No
26,11,34,6,14,6,No
33,8,52,41,4,1,No
27,10,28,21,11,5,Yes
33,13,44,18,5,1,No
31,14,92,7,11,6,No
29,13,98,30,14,1,Yes
32,17,98,45,4,4,No
36,15,81,24,13,2,No
24,11,77,26,13,5,Yes
23,12,21,30,13,2,Yes
32,9,82,42,9,3,No
36,7,52,33,4,5,No
22,15,36,48,9,3,Yes
26,14,6,44,8,2,No
34,9,10,23,12,4,Yes
22,15,53,15,8,3,No
24,15,44,3,12,3,No
